"mz","rt","mca_1_l_d2o","mca_1_l_h2o","mca_1_p_d2o","mca_1_p_h2o","mca_12_l_d2o","mca_12_l_h2o","mca_12_p_d2o","mca_12_p_h2o","mca_13_l_d2o","mca_13_l_h2o","mca_13_p_d2o","mca_13_p_h2o","mca_3_l_d2o","mca_3_l_h2o","mca_3_p_d2o","mca_3_p_h2o"
"102","2781",86566.7821754875,97675.6673999988,73881.6824371809,74228.2104032238,107406.949090579,98630.9628792312,96945.7479298626,89938.4426356708,72795.4242117179,76215.4687207022,71729.0321737907,70217.2999522286,79212.4995221204,78900.6279247551,115136.818822368,73644.9872328557
"102.1","47",66102.6422370181,65669.333503816,1333.5106807916,44755.9145966372,44307.3357309623,43804.1261077085,7673.05022930236,3536.86435283135,24423.9222954792,64127.3252355692,2181.18562497709,49610.0218902721,48030.875505815,11890.2708876604,763.338735410495,25983.6554178689
"104.1","42",90327.6770161577,99270.4900586492,64962.7876229991,48865.4356686003,43361.5778333391,47399.5024684837,38449.0579392034,31932.5235221724,94234.8686420606,119419.706681213,14033.8142262865,69279.9060712997,83048.9487131569,52227.9402374268,42156.2690530263,27525.4634972614
"105","137",32754.3053309462,32341.1045713298,31313.1922679021,34845.7104452749,3879.20006030795,5200.36696750423,17957.0394132174,28174.7888400146,13212.6479096602,7429.81835248012,1045.88336990078,20888.3346695709,37004.9616929275,26930.2069726562,20829.8503830295,33638.848751347
"106.1","174",17748.776266189,24144.8321704965,3371.52778291561,14657.2451725844,65223.3716252253,68874.51912654,27028.3944760367,31354.4617633301,119674.43158125,188804.913158428,6470.872786905,110617.262762256,76452.766467627,43626.195984375,9634.03755653994,9731.33021510454
"109","51",37508.7451636804,48411.4850134277,4339.93079530961,14562.9808513741,60121.4611188616,52292.1436482747,29972.648460846,23352.9589742909,26903.1296992493,37354.9248275757,1008.91818217466,6956.81033098271,29321.6288076782,30892.6134182035,1383.47113853214,2047.80320218214
"109.1","2503",24205.1486085049,30633.344291262,18326.5335649104,17647.4105982967,17791.0195600887,17765.6175254881,23103.3470048216,19126.5798809052,18772.89804454,23569.0916445917,20356.957151413,28831.5330458061,27872.808435457,25868.0687845781,17083.617236023,18270.7915789028
"110","36",641542.583823892,466107.24720102,218840.875908389,465606.121193171,1268912.66645826,979432.334311922,414101.577127473,604739.05532131,337508.453178087,457170.18580918,357251.728340507,200893.156153963,444744.706438044,622603.761877202,458682.86631548,472728.557091821
"111","39",104421.667138916,76474.7738951834,40038.3387483869,76820.8284133108,353568.124817664,273707.964379458,130363.771284142,169387.995914695,103031.36219736,76409.7356417183,99341.081702684,33118.9916646923,74327.0885824103,103742.414732762,136982.272462547,77786.02218803
"111.1","2341",23124.5422888896,20022.2593559924,20788.066340446,21424.3476457214,23472.7711892575,23487.3077255851,20393.2562072759,23827.0522813797,19110.2830499271,20800.8802197513,26522.9717413324,22968.1923854828,20539.1832031492,25276.860579682,27985.7440557855,21492.8386603636
"112","36",200547.335023897,144870.40248644,69362.6679115157,150568.546535419,435285.599732547,329041.584407999,142301.719137228,210540.752414329,265523.736676887,144987.870169651,191804.909115187,224808.75642924,144694.937102051,200845.493210678,217059.170619029,153331.677014465
"113","75",72619.6548139224,167457.341029338,142348.3771875,81990.838679093,98616.170071875,93397.2753643798,88783.1151475173,112024.820325,247623.303050819,229201.320295898,46946.6649916429,105807.045220947,121059.061622596,152997.447458496,254043.971779364,86585.5137
"113.1","2594",70269.6375148067,70833.6900161222,62386.2161514952,66630.2396536928,21603.2740530797,20363.0955658722,20403.7554849249,19455.9051195145,59517.0672344167,70232.8344589217,62603.1025287653,63977.7888825797,69050.5195630952,61503.7927232021,14588.4782743462,62479.7068655537
"113.1","779",72836.0634555294,64377.3955479548,4934.76256775181,7671.72882167058,38143.1292794363,36276.134790978,5674.08612176235,13873.8612798851,26688.7301222738,21333.470920139,3061.43399772366,5895.1714168895,103734.578778212,115628.931245215,19519.1995262831,15049.5745226384
"114.1","51",36427.2825352478,53262.2532208807,21582.3491625105,5570.86586640101,30240.9522201671,29829.3409581458,8742.88370969594,8680.08717664229,32081.2236141532,40768.5612863159,22465.4421694829,5154.4066886311,48797.9221138598,253272.590786638,90691.9886869812,9030.13358057576
"115","36",333454.721479548,260716.033858587,138329.591627197,269107.038550415,689321.304656505,537720.669740878,257916.635174879,355357.611070185,194943.31919969,259017.901458518,206939.369468914,123409.895669423,252254.727443348,328596.729506337,254069.563898704,271617.541124684
"115.1","172",20976.7120158269,24424.3381734375,24253.2656097656,26125.547809683,7062.12675439515,6562.41787384616,5850.39183745831,5180.28242500895,19154.5166105769,19165.9554925781,29373.6810820313,30136.5128314887,23819.9695185735,20138.050659375,37275.0877453126,26554.8420085693
"116","2781",28149.8249058255,30352.8647300369,26605.3266391111,27171.5244234379,34447.4214181863,25676.7422296553,31171.2023568291,23107.811623744,25741.7655583857,27347.5374741058,26264.0629555101,25500.0979370926,27223.121094702,25108.5173963887,39815.9621522349,26915.9255578129
"116.1","48",194804.270569119,179930.082893724,81762.9270101166,735853.182047314,143953.480520194,137158.248545867,117972.824248326,137075.490585429,212460.168428833,268947.973917334,88198.5159493133,923998.673745913,160459.79340764,146445.875745257,169789.068698167,316411.741374919
"116.1","173",66573.9633867187,89202.5360859376,20877.087136969,54917.0814187501,145483.206951562,147399.84825,64480.6888617189,72829.772934961,434038.27655625,673505.935929987,27903.9526911315,331040.389809375,280765.34484082,162833.332250976,30700.7183178029,36450.7947941239
"116.1","275",23716.5416421753,19119.6972418181,43663.306179957,43047.2241642337,53197.157165456,83110.0508164064,51680.7783192681,137929.355128906,42973.3132453452,156959.678763672,22266.9913037338,241745.294353638,67011.3261610991,150876.998830645,67331.4965916934,64556.9561395476
"117","43",68192.7971314586,26173.584061008,16109.4588583374,56185.9153377367,114768.377783869,89278.5514703104,46672.1628994196,62978.0054167829,49370.9966889755,57575.6424403381,13597.1422342613,59937.5292614277,33351.0612259227,65064.4473734353,82220.8823855752,55802.4177798595
"118.1","49",603474.737893066,493574.579701538,53401.1577380371,874781.552658691,217849.393004608,210406.655984364,203207.285574049,218608.773417544,353529.697052904,390114.384900433,128204.619246385,1883426.94042703,441095.518882101,372265.895364353,243816.796964722,1103288.56666785
"119.1","49",77552.2614316725,27156.4834710138,57123.5218439276,54772.1924656261,11215.1600226386,11734.4654971558,87313.0619545532,37932.9056387329,87001.2343238067,65547.8896974514,24505.9817548669,118873.978476895,49749.5546559209,41346.0038830452,123318.48703537,66033.63569665
"119.1","2067",7836.80132420326,8787.57727781812,17006.0906914946,15899.6553250577,225104.195067185,216865.484446872,214462.936770994,213928.694302146,6889.6441721128,7935.33830942804,16818.286410141,21933.7634356695,10482.5235994482,9099.06818062068,228210.737900974,21509.1727859116
"120.1","89",769478.222450409,813166.533024901,45732.6063119071,375322.584337158,340686.982913818,277585.520666199,227799.759870605,177012.226685486,324041.155811768,665197.411656646,30743.7574628906,1802422.59463669,832950.769153747,766987.592147217,31862.9537729117,139703.952528992
"121.1","51",1936476.27398856,1117368.84432432,81725.5916916497,1371368.55900643,4274994.14772803,5083829.68105506,1187407.29364893,12901.950209739,5981238.75769747,10479427.1830965,62542.92473527,1621688.21350542,700979.734750088,1762334.12126953,123160.612440132,1608811.3448882
"122.1","60",559102.390427541,104310.822030408,215478.385780405,121456.092135994,362785.843142578,414807.628280499,106538.286245801,28326.584564209,2306036.77453828,980309.688665365,19815.5505405108,152205.927895674,270506.1886428,175747.65324322,506377.012309028,139559.367639509
"122.9","40",1395296.6857208,1667293.24299849,1587157.96061168,1195161.81981412,883888.828312882,1098654.70757207,1349385.77780107,1548376.64379772,1195464.77215726,1264424.51696644,423101.364454133,839239.163730136,1760841.70706002,1955836.31238122,1526541.40141527,1550930.8137862
"124","48",187947.571973354,22392.6779538836,386005.134611629,21235.2011065504,39226.0181125614,25815.8932202857,38278.0543686676,46885.3278627777,617522.617006348,28869.3739870575,15569.4589999189,15480.8317447528,32036.2973731044,25599.1748334045,949087.228954327,24966.5054354052
"125","2782",217330.250064256,241565.833930665,185766.714696139,190657.315804918,257200.37679688,244772.536717002,231658.059699354,220696.290778456,189125.159809007,200581.423396555,179507.124800932,179075.98052578,204404.395210384,200981.182808494,291864.24160156,188489.029251996
"124.9","40",204728.981944129,241043.768171331,200246.363246353,172636.876525667,134137.949796196,167379.699671153,203242.588469079,235594.552224593,50766.655033722,183135.822439936,63098.765799949,122214.816679105,253322.909318609,285659.191956363,168455.615211342,226468.68241942
"126","2789",324055.69353725,326379.829739582,326410.108217077,326358.130872275,888616.879007818,866125.107090513,879966.645581892,871392.077780168,312617.08161569,322385.547415591,327179.433754179,324161.047031248,311930.741163192,307272.380273432,886373.112672409,320592.876604354
"126","36",302571.568699633,256010.96477417,1616768.13506329,74679.4503652884,762955.178814538,550261.246236519,159411.933263817,143692.92761714,338462.148131291,179242.392426015,169489.72919707,131677.747650306,170040.492095151,309200.439440585,2144946.67752122,85143.5838738888
"127","2782",92320.077704589,104911.215159376,81779.4906222649,81225.7056276313,117765.959715171,111710.455852398,104061.007305906,98356.9298531651,84031.5668895547,86129.8068969708,76935.7402031241,79554.5283928704,88474.7683896583,84996.393109716,133541.444869791,83433.9480981467
"127.1","39",811792.540114746,933008.772895203,1580962.56375563,650921.013421326,731370.273915331,676493.719702148,510773.987376052,476511.503481257,441442.156164551,754398.4313589,73495.4356843349,659299.257100565,575346.640313416,561852.86972959,2259389.65542931,543283.953976593
"128.1","37",144379.022551231,82853.7479052876,929316.1755411,56107.4956302712,33729.5015966242,57384.6849320239,32486.7886094204,25293.2396453247,170480.359443398,44618.4861178207,35532.6621154785,59937.2218793255,108302.006480819,50610.9358875067,1623185.20017419,50379.5702296309
"129","68",505539.337134375,924253.855543213,135268.57350769,916638.49222229,331788.820635938,335926.323515625,267409.590465884,835825.591173706,148445.543142361,222980.149284002,96698.1655258842,188385.675996094,646633.443300781,939511.164667969,657810.665374287,741383.782822266
"130.1","48",1025669.3539826,1028633.00617355,68893.9137133026,10311837.8818415,503229.643357783,495786.020459011,226650.292751853,341910.088842614,553511.471666172,3997493.3524818,441037.004889818,16947383.9224054,2332779.53514898,18831781.7529288,170620.68081253,6718165.13138977
"131.1","49",332862.937869077,139205.484252399,57025.4007432992,583741.420327846,39544.5615341949,36613.2011901855,15531.7509736724,15317.3819941453,479729.9296612,248113.649910528,42869.4883015869,980706.795533844,333349.992698444,1406621.61010895,102594.248511732,384904.205218506
