"mz","rt","sample_name","into","plant_id","day","organ","feed"
195.2,2156,"mca_1_l_d2o",20394.96178689,"1",5,"l","d2o"
196.1,2060,"mca_1_l_d2o",83218.7645853404,"1",5,"l","d2o"
196.1,97,"mca_1_l_d2o",200403.393036685,"1",5,"l","d2o"
197.1,84,"mca_1_l_d2o",199084.52379375,"1",5,"l","d2o"
198,783,"mca_1_l_d2o",7192.52260411122,"1",5,"l","d2o"
198.1,52,"mca_1_l_d2o",189342.629123437,"1",5,"l","d2o"
199,40,"mca_1_l_d2o",185992.803858906,"1",5,"l","d2o"
199.2,2341,"mca_1_l_d2o",51594.1988648444,"1",5,"l","d2o"
199.2,2037,"mca_1_l_d2o",28409.4577903748,"1",5,"l","d2o"
199.1,474,"mca_1_l_d2o",49623.4177368164,"1",5,"l","d2o"
199.1,1840,"mca_1_l_d2o",41058.0360562135,"1",5,"l","d2o"
200.1,66,"mca_1_l_d2o",256723.082736511,"1",5,"l","d2o"
201,39,"mca_1_l_d2o",30493.175566247,"1",5,"l","d2o"
202.1,70,"mca_1_l_d2o",234691.655294933,"1",5,"l","d2o"
202.2,48,"mca_1_l_d2o",31017.6084303789,"1",5,"l","d2o"
203,45,"mca_1_l_d2o",1136233.07344021,"1",5,"l","d2o"
203.2,84,"mca_1_l_d2o",110193.628498535,"1",5,"l","d2o"
204.1,47,"mca_1_l_d2o",204708.019338281,"1",5,"l","d2o"
204.1,568,"mca_1_l_d2o",147021.630590007,"1",5,"l","d2o"
204.1,499,"mca_1_l_d2o",285289.427929689,"1",5,"l","d2o"
205,46,"mca_1_l_d2o",109346.656794672,"1",5,"l","d2o"
205.1,2278,"mca_1_l_d2o",64004.6498206507,"1",5,"l","d2o"
205.1,1073,"mca_1_l_d2o",312738.540489841,"1",5,"l","d2o"
205.1,232,"mca_1_l_d2o",223496.185372221,"1",5,"l","d2o"
205.1,1174,"mca_1_l_d2o",183479.075844164,"1",5,"l","d2o"
205,464,"mca_1_l_d2o",10666.7395563711,"1",5,"l","d2o"
206.1,1244,"mca_1_l_d2o",179336.788650715,"1",5,"l","d2o"
206.1,170,"mca_1_l_d2o",94072.8652989257,"1",5,"l","d2o"
206.1,49,"mca_1_l_d2o",83686.4128765073,"1",5,"l","d2o"
206.9,40,"mca_1_l_d2o",1033456.13885817,"1",5,"l","d2o"
207.1,786,"mca_1_l_d2o",4661947.26602167,"1",5,"l","d2o"
207.6,2026,"mca_1_l_d2o",272660.924804417,"1",5,"l","d2o"
207.9,40,"mca_1_l_d2o",25114.2452153479,"1",5,"l","d2o"
208.1,782,"mca_1_l_d2o",658773.564789669,"1",5,"l","d2o"
208.1,205,"mca_1_l_d2o",328734.430249963,"1",5,"l","d2o"
208.1,104,"mca_1_l_d2o",294657.068784375,"1",5,"l","d2o"
208.9,41,"mca_1_l_d2o",496387.20303052,"1",5,"l","d2o"
209.2,1989,"mca_1_l_d2o",325970.17422926,"1",5,"l","d2o"
209.2,1173,"mca_1_l_d2o",98545.9059048752,"1",5,"l","d2o"
209.1,767,"mca_1_l_d2o",110301.492007618,"1",5,"l","d2o"
209.2,698,"mca_1_l_d2o",246655.475404688,"1",5,"l","d2o"
210.1,66,"mca_1_l_d2o",51539.9487027995,"1",5,"l","d2o"
210.2,1989,"mca_1_l_d2o",48305.640122257,"1",5,"l","d2o"
211,42,"mca_1_l_d2o",73500.8602091117,"1",5,"l","d2o"
211.2,1490,"mca_1_l_d2o",617131.877231244,"1",5,"l","d2o"
211.2,1244,"mca_1_l_d2o",700001.458512935,"1",5,"l","d2o"
212.1,2172,"mca_1_l_d2o",108732.947723462,"1",5,"l","d2o"
212,70,"mca_1_l_d2o",38241.5442766779,"1",5,"l","d2o"
212.2,1491,"mca_1_l_d2o",88825.9892044914,"1",5,"l","d2o"
212.2,1244,"mca_1_l_d2o",118397.204062501,"1",5,"l","d2o"
213,854,"mca_1_l_d2o",30859.3434312904,"1",5,"l","d2o"
213.1,779,"mca_1_l_d2o",412014.823451453,"1",5,"l","d2o"
213.1,2079,"mca_1_l_d2o",186993.276474157,"1",5,"l","d2o"
213.1,1474,"mca_1_l_d2o",103851.858390878,"1",5,"l","d2o"
213.1,46,"mca_1_l_d2o",781.55505944232,"1",5,"l","d2o"
214.2,2079,"mca_1_l_d2o",25931.3004516227,"1",5,"l","d2o"
214.1,698,"mca_1_l_d2o",90575.8432498165,"1",5,"l","d2o"
214.1,51,"mca_1_l_d2o",734.375137379916,"1",5,"l","d2o"
215,69,"mca_1_l_d2o",406723.709131622,"1",5,"l","d2o"
215.6,2026,"mca_1_l_d2o",84777.777015151,"1",5,"l","d2o"
216,69,"mca_1_l_d2o",60935.2666612244,"1",5,"l","d2o"
218,75,"mca_1_l_d2o",10195.7645610829,"1",5,"l","d2o"
218.1,1108,"mca_1_l_d2o",209879.329435099,"1",5,"l","d2o"
219,46,"mca_1_l_d2o",487110.47145805,"1",5,"l","d2o"
219,179,"mca_1_l_d2o",654674.610318271,"1",5,"l","d2o"
219.1,1173,"mca_1_l_d2o",96996.5000203113,"1",5,"l","d2o"
219.2,979,"mca_1_l_d2o",123817.167178126,"1",5,"l","d2o"
220,46,"mca_1_l_d2o",175622.335063738,"1",5,"l","d2o"
220.1,183,"mca_1_l_d2o",138939.536670861,"1",5,"l","d2o"
221.1,48,"mca_1_l_d2o",1913199.61139648,"1",5,"l","d2o"
221.1,735,"mca_1_l_d2o",143185.4659375,"1",5,"l","d2o"
221.2,2218,"mca_1_l_d2o",53679.492892395,"1",5,"l","d2o"
221.2,2503,"mca_1_l_d2o",47266.6878617534,"1",5,"l","d2o"
222.1,70,"mca_1_l_d2o",588154.675753784,"1",5,"l","d2o"
223.1,2562,"mca_1_l_d2o",124233.653484192,"1",5,"l","d2o"
223,43,"mca_1_l_d2o",328544.164545703,"1",5,"l","d2o"
223.1,1862,"mca_1_l_d2o",128368.821576563,"1",5,"l","d2o"
223.1,2393,"mca_1_l_d2o",57129.5548393251,"1",5,"l","d2o"
223.1,2489,"mca_1_l_d2o",49595.2969555665,"1",5,"l","d2o"
223.1,2116,"mca_1_l_d2o",44265.8922146486,"1",5,"l","d2o"
224,37,"mca_1_l_d2o",501030.740389252,"1",5,"l","d2o"
224.1,106,"mca_1_l_d2o",189449.689588905,"1",5,"l","d2o"
225,43,"mca_1_l_d2o",364139.922039866,"1",5,"l","d2o"
225.1,831,"mca_1_l_d2o",526021.056728515,"1",5,"l","d2o"
225.1,608,"mca_1_l_d2o",91301.6467858889,"1",5,"l","d2o"
226,37,"mca_1_l_d2o",144931.357413441,"1",5,"l","d2o"
226.2,2326,"mca_1_l_d2o",33316.2429666129,"1",5,"l","d2o"
226,1565,"mca_1_l_d2o",61718.8501594435,"1",5,"l","d2o"
226.1,830,"mca_1_l_d2o",137432.546723438,"1",5,"l","d2o"
226.1,986,"mca_1_l_d2o",127631.177544727,"1",5,"l","d2o"
226.1,518,"mca_1_l_d2o",203212.96000279,"1",5,"l","d2o"
226.2,1837,"mca_1_l_d2o",33386.567061195,"1",5,"l","d2o"
227,77,"mca_1_l_d2o",184205.399439551,"1",5,"l","d2o"
227,2753,"mca_1_l_d2o",182782.601541139,"1",5,"l","d2o"
227.1,801,"mca_1_l_d2o",49992.8642104869,"1",5,"l","d2o"
227.2,1733,"mca_1_l_d2o",39748.6084333634,"1",5,"l","d2o"
227.2,2057,"mca_1_l_d2o",116577.824006246,"1",5,"l","d2o"
227.1,120,"mca_1_l_d2o",169894.032463728,"1",5,"l","d2o"
228,52,"mca_1_l_d2o",90066.5503035836,"1",5,"l","d2o"
228.1,910,"mca_1_l_d2o",38849.30269043,"1",5,"l","d2o"
228.1,2026,"mca_1_l_d2o",21625.598913067,"1",5,"l","d2o"
228.2,1911,"mca_1_l_d2o",100951.460949097,"1",5,"l","d2o"
229.2,67,"mca_1_l_d2o",535437.67439209,"1",5,"l","d2o"
230.1,2758,"mca_1_l_d2o",408498.639734475,"1",5,"l","d2o"
230.1,67,"mca_1_l_d2o",125343.304224023,"1",5,"l","d2o"
230.2,1807,"mca_1_l_d2o",16518.7471373399,"1",5,"l","d2o"
231,69,"mca_1_l_d2o",345512.1415875,"1",5,"l","d2o"
231.2,150,"mca_1_l_d2o",14408.5829249775,"1",5,"l","d2o"
232,67,"mca_1_l_d2o",52701.5085131836,"1",5,"l","d2o"
233,53,"mca_1_l_d2o",107162.714822591,"1",5,"l","d2o"
233.1,911,"mca_1_l_d2o",40676.2233558889,"1",5,"l","d2o"
233.2,1450,"mca_1_l_d2o",47697.5473443716,"1",5,"l","d2o"
233.2,2107,"mca_1_l_d2o",65087.3802929704,"1",5,"l","d2o"
234.1,48,"mca_1_l_d2o",205192.528288879,"1",5,"l","d2o"
234.1,480,"mca_1_l_d2o",119481.420572917,"1",5,"l","d2o"
235.2,2203,"mca_1_l_d2o",145217.882037893,"1",5,"l","d2o"
235.1,2079,"mca_1_l_d2o",76184.105648577,"1",5,"l","d2o"
235.1,49,"mca_1_l_d2o",49747.5179905701,"1",5,"l","d2o"
235.1,1074,"mca_1_l_d2o",115947.747460547,"1",5,"l","d2o"
236,174,"mca_1_l_d2o",11002.8356305102,"1",5,"l","d2o"
236.1,83,"mca_1_l_d2o",270631.88197998,"1",5,"l","d2o"
236.2,2203,"mca_1_l_d2o",26036.2834781253,"1",5,"l","d2o"
236.2,2067,"mca_1_l_d2o",7351.38197644255,"1",5,"l","d2o"
236.9,39,"mca_1_l_d2o",125630.795181407,"1",5,"l","d2o"
237.1,2026,"mca_1_l_d2o",37500.2394357162,"1",5,"l","d2o"
237.1,80,"mca_1_l_d2o",62338.6260874512,"1",5,"l","d2o"
238.1,96,"mca_1_l_d2o",30685.1802770996,"1",5,"l","d2o"
238.9,39,"mca_1_l_d2o",39620.7502118185,"1",5,"l","d2o"
239.2,2012,"mca_1_l_d2o",77601.3692807413,"1",5,"l","d2o"
