"mz","rt","sample_name","day","organ","feed","into_norm","metabolite","ion"
398.1,316,"mca_13_l_h2o",15,"l","h2o",146172512.487654,"acutumine","M0"
398.1,316,"mca_13_p_d2o",15,"p","d2o",8327686.83894219,"acutumine","M0"
398.1,316,"mca_13_p_h2o",15,"p","h2o",301483234.427884,"acutumine","M0"
398.1,316,"mca_3_l_d2o",10,"l","d2o",118862574.320652,"acutumine","M0"
398.1,316,"mca_3_l_h2o",10,"l","h2o",93614096.8503351,"acutumine","M0"
398.1,316,"mca_3_p_d2o",10,"p","d2o",8360277.84210937,"acutumine","M0"
398.1,316,"mca_3_p_h2o",10,"p","h2o",943561.91590609,"acutumine","M0"
384.1,226,"mca_1_l_d2o",5,"l","d2o",37393612.3328921,"acutumidine","M0"
384.1,226,"mca_1_l_h2o",5,"l","h2o",40940659.7803116,"acutumidine","M0"
384.1,226,"mca_1_p_d2o",5,"p","d2o",473840.843372849,"acutumidine","M0"
384.1,226,"mca_1_p_h2o",5,"p","h2o",66465060.3932337,"acutumidine","M0"
384.1,226,"mca_12_l_d2o",0,"l","d2o",1400131.75062693,"acutumidine","M0"
384.1,226,"mca_12_l_h2o",0,"l","h2o",1415696.56567855,"acutumidine","M0"
384.1,226,"mca_12_p_d2o",0,"p","d2o",3602350.58267723,"acutumidine","M0"
384.1,226,"mca_12_p_h2o",0,"p","h2o",6339564.40473126,"acutumidine","M0"
384.1,226,"mca_13_l_d2o",15,"l","d2o",36248443.7482155,"acutumidine","M0"
384.1,226,"mca_13_l_h2o",15,"l","h2o",30838335.5562753,"acutumidine","M0"
384.1,226,"mca_13_p_d2o",15,"p","d2o",808557.193001893,"acutumidine","M0"
384.1,226,"mca_13_p_h2o",15,"p","h2o",60744661.0883187,"acutumidine","M0"
384.1,226,"mca_3_l_d2o",10,"l","d2o",18805680.1736307,"acutumidine","M0"
384.1,226,"mca_3_l_h2o",10,"l","h2o",24788851.8934897,"acutumidine","M0"
384.1,226,"mca_3_p_d2o",10,"p","d2o",142497.679792786,"acutumidine","M0"
384.1,226,"mca_3_p_h2o",10,"p","h2o",166350.708700618,"acutumidine","M0"
382.1,540,"mca_1_l_d2o",5,"l","d2o",16083158.1449307,"mz_382.14","M0"
382.1,540,"mca_1_l_h2o",5,"l","h2o",12456022.2756572,"mz_382.14","M0"
382.1,540,"mca_1_p_d2o",5,"p","d2o",301485.055096778,"mz_382.14","M0"
382.1,540,"mca_1_p_h2o",5,"p","h2o",7016833.99618424,"mz_382.14","M0"
382.1,540,"mca_12_l_d2o",0,"l","d2o",48050789.1939487,"mz_382.14","M0"
382.1,540,"mca_12_l_h2o",0,"l","h2o",38815000.7119957,"mz_382.14","M0"
382.1,540,"mca_12_p_d2o",0,"p","d2o",24014738.4520934,"mz_382.14","M0"
382.1,540,"mca_12_p_h2o",0,"p","h2o",6375595.21233166,"mz_382.14","M0"
382.1,540,"mca_13_l_d2o",15,"l","d2o",48718459.3312467,"mz_382.14","M0"
382.1,540,"mca_13_l_h2o",15,"l","h2o",58916569.0468484,"mz_382.14","M0"
382.1,540,"mca_13_p_d2o",15,"p","d2o",2019396.33035257,"mz_382.14","M0"
382.1,540,"mca_13_p_h2o",15,"p","h2o",79390882.7222219,"mz_382.14","M0"
382.1,540,"mca_3_l_d2o",10,"l","d2o",24047270.5581174,"mz_382.14","M0"
382.1,540,"mca_3_l_h2o",10,"l","h2o",7625160.67476733,"mz_382.14","M0"
382.1,540,"mca_3_p_d2o",10,"p","d2o",116173.344373431,"mz_382.14","M0"
382.1,540,"mca_3_p_h2o",10,"p","h2o",18703.5923122602,"mz_382.14","M0"
440.1,846,"mca_1_l_d2o",5,"l","d2o",65673037.6236261,"mz_440.15","M0"
440.1,846,"mca_1_l_h2o",5,"l","h2o",49839997.8169356,"mz_440.15","M0"
440.1,846,"mca_1_p_d2o",5,"p","d2o",355660.195149312,"mz_440.15","M0"
440.1,846,"mca_1_p_h2o",5,"p","h2o",8617672.98016949,"mz_440.15","M0"
440.1,846,"mca_12_l_d2o",0,"l","d2o",87330450.3215819,"mz_440.15","M0"
440.1,846,"mca_12_l_h2o",0,"l","h2o",101888814.75775,"mz_440.15","M0"
440.1,846,"mca_12_p_d2o",0,"p","d2o",28891319.1089438,"mz_440.15","M0"
440.1,846,"mca_12_p_h2o",0,"p","h2o",8407560.27845598,"mz_440.15","M0"
440.1,846,"mca_13_l_d2o",15,"l","d2o",59551407.754015,"mz_440.15","M0"
440.1,846,"mca_13_l_h2o",15,"l","h2o",55918855.5648104,"mz_440.15","M0"
440.1,846,"mca_13_p_d2o",15,"p","d2o",1358261.27150839,"mz_440.15","M0"
440.1,846,"mca_13_p_h2o",15,"p","h2o",56646308.5632391,"mz_440.15","M0"
440.1,846,"mca_3_l_d2o",10,"l","d2o",12390878.5750987,"mz_440.15","M0"
440.1,846,"mca_3_l_h2o",10,"l","h2o",8825763.31799374,"mz_440.15","M0"
440.1,846,"mca_3_p_d2o",10,"p","d2o",51046.61173824,"mz_440.15","M0"
440.1,846,"mca_3_p_h2o",10,"p","h2o",76204.046879387,"mz_440.15","M0"
328.2,680,"mca_1_l_d2o",5,"l","d2o",8552373.75813743,"scoulerine?","M0"
328.2,680,"mca_1_l_h2o",5,"l","h2o",15093233.3893747,"scoulerine?","M0"
328.2,680,"mca_1_p_d2o",5,"p","d2o",170110.496252411,"scoulerine?","M0"
328.2,680,"mca_1_p_h2o",5,"p","h2o",4948307.8485903,"scoulerine?","M0"
328.2,680,"mca_12_l_d2o",0,"l","d2o",318893.548208386,"scoulerine?","M0"
328.2,680,"mca_12_l_h2o",0,"l","h2o",61408.7088451534,"scoulerine?","M0"
328.2,680,"mca_12_p_d2o",0,"p","d2o",907339.38737215,"scoulerine?","M0"
328.2,680,"mca_12_p_h2o",0,"p","h2o",1685318.20199265,"scoulerine?","M0"
328.2,680,"mca_13_l_d2o",15,"l","d2o",3471517.88680945,"scoulerine?","M0"
328.2,680,"mca_13_l_h2o",15,"l","h2o",1109876.12998673,"scoulerine?","M0"
328.2,680,"mca_13_p_d2o",15,"p","d2o",873430.881617785,"scoulerine?","M0"
328.2,680,"mca_13_p_h2o",15,"p","h2o",9434769.35346145,"scoulerine?","M0"
328.2,680,"mca_3_l_d2o",10,"l","d2o",15738976.5787711,"scoulerine?","M0"
328.2,680,"mca_3_l_h2o",10,"l","h2o",110153436.693095,"scoulerine?","M0"
328.2,680,"mca_3_p_d2o",10,"p","d2o",1187631.18590494,"scoulerine?","M0"
328.2,680,"mca_3_p_h2o",10,"p","h2o",2304091.21328236,"scoulerine?","M0"
342.2,722,"mca_1_l_d2o",5,"l","d2o",43600575.3003816,"tetrahydrocolumbamine?","M0"
342.2,722,"mca_1_l_h2o",5,"l","h2o",71602396.4562655,"tetrahydrocolumbamine?","M0"
342.2,722,"mca_1_p_d2o",5,"p","d2o",3717059.40517244,"tetrahydrocolumbamine?","M0"
342.2,722,"mca_1_p_h2o",5,"p","h2o",12663876.4595133,"tetrahydrocolumbamine?","M0"
342.2,722,"mca_12_l_d2o",0,"l","d2o",4219351.77261954,"tetrahydrocolumbamine?","M0"
342.2,722,"mca_12_l_h2o",0,"l","h2o",3238301.60387126,"tetrahydrocolumbamine?","M0"
342.2,722,"mca_12_p_d2o",0,"p","d2o",5377512.02509343,"tetrahydrocolumbamine?","M0"
342.2,722,"mca_12_p_h2o",0,"p","h2o",12151680.5150991,"tetrahydrocolumbamine?","M0"
342.2,722,"mca_13_l_d2o",15,"l","d2o",64699948.2293895,"tetrahydrocolumbamine?","M0"
342.2,722,"mca_13_l_h2o",15,"l","h2o",4186048.80427531,"tetrahydrocolumbamine?","M0"
342.2,722,"mca_13_p_d2o",15,"p","d2o",112330.215540202,"tetrahydrocolumbamine?","M0"
342.2,722,"mca_13_p_h2o",15,"p","h2o",31123300.4433759,"tetrahydrocolumbamine?","M0"
342.2,722,"mca_3_l_d2o",10,"l","d2o",90050334.1544323,"tetrahydrocolumbamine?","M0"
342.2,722,"mca_3_l_h2o",10,"l","h2o",286056402.832565,"tetrahydrocolumbamine?","M0"
342.2,722,"mca_3_p_d2o",10,"p","d2o",1549405.1393607,"tetrahydrocolumbamine?","M0"
342.2,722,"mca_3_p_h2o",10,"p","h2o",17402127.4838198,"tetrahydrocolumbamine?","M0"
340.2,867,"mca_1_l_d2o",5,"l","d2o",400874.53581565,"canadine?","M0"
340.2,867,"mca_1_l_h2o",5,"l","h2o",1376017.7600075,"canadine?","M0"
340.2,867,"mca_1_p_d2o",5,"p","d2o",69747.4614831975,"canadine?","M0"
340.2,867,"mca_1_p_h2o",5,"p","h2o",116371.78446631,"canadine?","M0"
340.2,867,"mca_12_l_d2o",0,"l","d2o",14403.1403220559,"canadine?","M0"
340.2,867,"mca_12_l_h2o",0,"l","h2o",15628.4736035888,"canadine?","M0"
340.2,867,"mca_12_p_d2o",0,"p","d2o",154623.210205471,"canadine?","M0"
340.2,867,"mca_12_p_h2o",0,"p","h2o",716976.870505983,"canadine?","M0"
340.2,867,"mca_13_l_d2o",15,"l","d2o",208945.482632758,"canadine?","M0"
340.2,867,"mca_13_l_h2o",15,"l","h2o",3847.81953819367,"canadine?","M0"
340.2,867,"mca_13_p_d2o",15,"p","d2o",9640.21827026114,"canadine?","M0"
340.2,867,"mca_13_p_h2o",15,"p","h2o",54316.9269670757,"canadine?","M0"
340.2,867,"mca_3_l_d2o",10,"l","d2o",1854926.01800034,"canadine?","M0"
340.2,867,"mca_3_l_h2o",10,"l","h2o",15679189.1535143,"canadine?","M0"
340.2,867,"mca_3_p_d2o",10,"p","d2o",15788.3044449088,"canadine?","M0"
340.2,867,"mca_3_p_h2o",10,"p","h2o",1586516.87313777,"canadine?","M0"
324.1,1020,"mca_1_l_d2o",5,"l","d2o",5869368.07159809,"stylopine?","M0"
324.1,1020,"mca_1_l_h2o",5,"l","h2o",9908148.8160492,"stylopine?","M0"
324.1,1020,"mca_1_p_d2o",5,"p","d2o",583201.848524315,"stylopine?","M0"
324.1,1020,"mca_1_p_h2o",5,"p","h2o",2084713.33847892,"stylopine?","M0"
324.1,1020,"mca_12_l_d2o",0,"l","d2o",457432.761426617,"stylopine?","M0"
324.1,1020,"mca_12_l_h2o",0,"l","h2o",405881.806870591,"stylopine?","M0"
324.1,1020,"mca_12_p_d2o",0,"p","d2o",189824.492985731,"stylopine?","M0"
324.1,1020,"mca_12_p_h2o",0,"p","h2o",446670.139206717,"stylopine?","M0"
324.1,1020,"mca_13_l_d2o",15,"l","d2o",3733138.40002675,"stylopine?","M0"
324.1,1020,"mca_13_l_h2o",15,"l","h2o",232974.93644867,"stylopine?","M0"
324.1,1020,"mca_13_p_d2o",15,"p","d2o",230458.031069843,"stylopine?","M0"
324.1,1020,"mca_13_p_h2o",15,"p","h2o",4247212.84719398,"stylopine?","M0"
324.1,1020,"mca_3_l_d2o",10,"l","d2o",12369885.1874063,"stylopine?","M0"
324.1,1020,"mca_3_l_h2o",10,"l","h2o",16814592.1118795,"stylopine?","M0"
324.1,1020,"mca_3_p_d2o",10,"p","d2o",272180.34279785,"stylopine?","M0"
324.1,1020,"mca_3_p_h2o",10,"p","h2o",16312272.5490651,"stylopine?","M0"
273.1,298,"mca_1_l_d2o",5,"l","d2o",1939269.26621836,"norcoclaurine","M1"
273.1,298,"mca_1_l_h2o",5,"l","h2o",1331246.11679898,"norcoclaurine","M1"
273.1,298,"mca_1_p_d2o",5,"p","d2o",88817.6946053349,"norcoclaurine","M1"
273.1,298,"mca_1_p_h2o",5,"p","h2o",184259.981812365,"norcoclaurine","M1"
273.1,298,"mca_12_l_d2o",0,"l","d2o",23979.7280848721,"norcoclaurine","M1"
273.1,298,"mca_12_l_h2o",0,"l","h2o",35312.7176040531,"norcoclaurine","M1"
273.1,298,"mca_12_p_d2o",0,"p","d2o",35900.029272246,"norcoclaurine","M1"
273.1,298,"mca_12_p_h2o",0,"p","h2o",108448.878646885,"norcoclaurine","M1"
273.1,298,"mca_13_l_d2o",15,"l","d2o",5702865.52789672,"norcoclaurine","M1"
273.1,298,"mca_13_l_h2o",15,"l","h2o",186698.823757286,"norcoclaurine","M1"
273.1,298,"mca_13_p_d2o",15,"p","d2o",38352.0965935046,"norcoclaurine","M1"
273.1,298,"mca_13_p_h2o",15,"p","h2o",172851.918918902,"norcoclaurine","M1"
273.1,298,"mca_3_l_d2o",10,"l","d2o",1154564.25489038,"norcoclaurine","M1"
273.1,298,"mca_3_l_h2o",10,"l","h2o",1880048.9591806,"norcoclaurine","M1"
273.1,298,"mca_3_p_d2o",10,"p","d2o",26615.8649587678,"norcoclaurine","M1"
273.1,298,"mca_3_p_h2o",10,"p","h2o",646316.493967523,"norcoclaurine","M1"
287.1,622,"mca_1_l_d2o",5,"l","d2o",10292066.8835852,"coclaurine","M1"
287.1,622,"mca_1_l_h2o",5,"l","h2o",9769846.11495327,"coclaurine","M1"
287.1,622,"mca_1_p_d2o",5,"p","d2o",128901.421084296,"coclaurine","M1"
287.1,622,"mca_1_p_h2o",5,"p","h2o",1374213.09932841,"coclaurine","M1"
287.1,622,"mca_12_l_d2o",0,"l","d2o",166084.111005861,"coclaurine","M1"
287.1,622,"mca_12_l_h2o",0,"l","h2o",124984.937201492,"coclaurine","M1"
287.1,622,"mca_12_p_d2o",0,"p","d2o",292189.55998641,"coclaurine","M1"
287.1,622,"mca_12_p_h2o",0,"p","h2o",580890.534094113,"coclaurine","M1"
287.1,622,"mca_13_l_d2o",15,"l","d2o",10622422.4164882,"coclaurine","M1"
287.1,622,"mca_13_l_h2o",15,"l","h2o",1140030.63009299,"coclaurine","M1"
287.1,622,"mca_13_p_d2o",15,"p","d2o",80164.7311041009,"coclaurine","M1"
287.1,622,"mca_13_p_h2o",15,"p","h2o",3427693.98405717,"coclaurine","M1"
287.1,622,"mca_3_l_d2o",10,"l","d2o",6284627.38656126,"coclaurine","M1"
287.1,622,"mca_3_l_h2o",10,"l","h2o",10205849.0657187,"coclaurine","M1"
287.1,622,"mca_3_p_d2o",10,"p","d2o",42899.3854919657,"coclaurine","M1"
287.1,622,"mca_3_p_h2o",10,"p","h2o",4466265.98339145,"coclaurine","M1"
301.2,345,"mca_1_l_d2o",5,"l","d2o",944784.969381884,"methylcoclaurine","M1"
301.2,345,"mca_1_l_h2o",5,"l","h2o",821196.912934873,"methylcoclaurine","M1"
