"mz","rt","sample_name","day","organ","feed","into_norm"
95.1,2503,"mca_1_l_d2o",5,"l","d2o",50604.0114290413
95.1,2503,"mca_1_l_h2o",5,"l","h2o",71479.9471564907
95.1,2503,"mca_1_p_d2o",5,"p","d2o",35427.5186054618
95.1,2503,"mca_1_p_h2o",5,"p","h2o",37562.8922788313
95.1,2503,"mca_12_l_d2o",0,"l","d2o",68072.1806766762
95.1,2503,"mca_12_l_h2o",0,"l","h2o",77490.2467234133
95.1,2503,"mca_12_p_d2o",0,"p","d2o",91398.2407040791
95.1,2503,"mca_12_p_h2o",0,"p","h2o",111772.068129605
95.1,2503,"mca_13_l_d2o",15,"l","d2o",48113.9358666835
95.1,2503,"mca_13_l_h2o",15,"l","h2o",34674.7786760423
95.1,2503,"mca_13_p_d2o",15,"p","d2o",69380.7998345803
95.1,2503,"mca_13_p_h2o",15,"p","h2o",42075.8943590983
95.1,2503,"mca_3_l_d2o",10,"l","d2o",44024.9875605343
95.1,2503,"mca_3_l_h2o",10,"l","h2o",30590.4572958167
95.1,2503,"mca_3_p_d2o",10,"p","d2o",36416.8420574795
95.1,2503,"mca_3_p_h2o",10,"p","h2o",27832.3322521806
97.1,2503,"mca_1_l_d2o",5,"l","d2o",31794.7977152151
97.1,2503,"mca_1_l_h2o",5,"l","h2o",45794.3505560116
97.1,2503,"mca_1_p_d2o",5,"p","d2o",30241.5318203625
97.1,2503,"mca_1_p_h2o",5,"p","h2o",31038.1591603615
97.1,2503,"mca_12_l_d2o",0,"l","d2o",46576.5748091983
97.1,2503,"mca_12_l_h2o",0,"l","h2o",46191.3557344227
97.1,2503,"mca_12_p_d2o",0,"p","d2o",66700.1979925886
97.1,2503,"mca_12_p_h2o",0,"p","h2o",73783.5822687893
97.1,2503,"mca_13_l_d2o",15,"l","d2o",37874.1605770924
97.1,2503,"mca_13_l_h2o",15,"l","h2o",27448.7003491237
97.1,2503,"mca_13_p_d2o",15,"p","d2o",45560.4752019286
97.1,2503,"mca_13_p_h2o",15,"p","h2o",28868.6404403286
97.1,2503,"mca_3_l_d2o",10,"l","d2o",29678.6079632631
97.1,2503,"mca_3_l_h2o",10,"l","h2o",21176.2901217114
97.1,2503,"mca_3_p_d2o",10,"p","d2o",23552.9454872132
97.1,2503,"mca_3_p_h2o",10,"p","h2o",17455.3433103822
99,53,"mca_1_l_d2o",5,"l","d2o",457203.021692205
99,53,"mca_1_l_h2o",5,"l","h2o",816038.907427635
99,53,"mca_1_p_d2o",5,"p","d2o",579870.842593722
99,53,"mca_1_p_h2o",5,"p","h2o",675641.171446253
99,53,"mca_12_l_d2o",0,"l","d2o",344495.087640226
99,53,"mca_12_l_h2o",0,"l","h2o",634639.580639283
99,53,"mca_12_p_d2o",0,"p","d2o",859210.583469556
99,53,"mca_12_p_h2o",0,"p","h2o",2039861.29519362
99,53,"mca_13_l_d2o",15,"l","d2o",308026.780752761
99,53,"mca_13_l_h2o",15,"l","h2o",119152.248031778
99,53,"mca_13_p_d2o",15,"p","d2o",127111.968852595
99,53,"mca_13_p_h2o",15,"p","h2o",67355.3411329573
99,53,"mca_3_l_d2o",10,"l","d2o",183203.258788558
99,53,"mca_3_l_h2o",10,"l","h2o",106288.567310479
99,53,"mca_3_p_d2o",10,"p","d2o",246111.218583397
99,53,"mca_3_p_h2o",10,"p","h2o",37345.4816395537
99,2781,"mca_1_l_d2o",5,"l","d2o",362345.250220386
99,2781,"mca_1_l_h2o",5,"l","h2o",449118.636792661
99,2781,"mca_1_p_d2o",5,"p","d2o",298976.418567771
99,2781,"mca_1_p_h2o",5,"p","h2o",309255.81023844
99,2781,"mca_12_l_d2o",0,"l","d2o",942037.280183037
99,2781,"mca_12_l_h2o",0,"l","h2o",919801.783823928
99,2781,"mca_12_p_d2o",0,"p","d2o",810370.075707176
99,2781,"mca_12_p_h2o",0,"p","h2o",1045394.31080609
99,2781,"mca_13_l_d2o",15,"l","d2o",374544.573571326
99,2781,"mca_13_l_h2o",15,"l","h2o",230223.623655762
99,2781,"mca_13_p_d2o",15,"p","d2o",472192.300905185
99,2781,"mca_13_p_h2o",15,"p","h2o",209360.042637933
99,2781,"mca_3_l_d2o",10,"l","d2o",242880.076151035
99,2781,"mca_3_l_h2o",10,"l","h2o",189483.489639926
99,2781,"mca_3_p_d2o",10,"p","d2o",524861.159667963
99,2781,"mca_3_p_h2o",10,"p","h2o",241845.630721335
100,2781,"mca_1_l_d2o",5,"l","d2o",394214.477883762
100,2781,"mca_1_l_h2o",5,"l","h2o",483258.889821695
100,2781,"mca_1_p_d2o",5,"p","d2o",316783.215286056
100,2781,"mca_1_p_h2o",5,"p","h2o",326398.418480392
100,2781,"mca_12_l_d2o",0,"l","d2o",963917.278434867
